HD\Step(V) ,0.0(V),2.00(V),2.10(V),2.20(V),2.30(V),2.40(V),2.50(V),2.55(V),2.60(V),2.65(V),2.70(V),2.75(V),2.80(V),2.85(V),2.90(V),2.95(V),3.00(V),3.05(V),3.10(V),3.15(V),3.20(V),3.25(V),3.30(V),3.35(V),3.40(V),
16.Y5GE227S,0,0.00826873764022626,0.0159754933304182,0.0190098909297313,0.0228125286290773,0.0438379349649948,0.0445014694263668,0.164702946079923,0.158290606254664,0.15341027550969,0.18262246732329,0.185632475710763,0.207519814893909,0.214329357386486,0.26626074280419,0.31390431021983,0.32217871844308,0.401179914511921,0.617601095944705,0.779632369545895,0.809600125091912,0.923297261887981,0.981432179906428,1,0.993518323595545,
17.Y5GE227R,0,0.124399054396169,0.123093020865751,0.118802031814042,0.118616445661371,0.208895924581128,0.212687809354266,0.225675150396129,0.28965232470177,0.258429331276644,0.289472455579249,0.484239003328366,0.467860807057132,0.531848538175749,0.518067914716927,0.783953028286576,0.894778121260859,0.340081925878731,0.650424084374504,0.91120203529898,0.897281998158708,0.925733310770299,0.71359870954869,0.992770197057166,1,
18.Y5GE227P,0,0.0182750865048893,0.0209005446501487,0.402454891639177,0.416478103485624,0.440352370495609,0.46472936336872,0.516067576779729,0.510625559690806,0.49504010037942,0.510884044957298,0.503043874610281,0.504713380242741,0.652250264384536,0.697310112964589,0.708309161896158,0.695262085978907,0.696506758884093,0.778221691863523,0.709470890242837,0.836494966997189,0.854424966448165,0.865967514728507,0.936623373692459,1,
19.Y5GE227N,0,0.0173962209822318,0.0207437656992675,0.0349477271314998,0.0813798237695564,0.107310451103986,0.151689955557225,0.118147660080998,0.152443966129876,0.15498508651259,0.140171856891724,0.171004918348964,0.208766686577066,0.396192788286266,0.375547158532343,0.868392544085448,0.842795246683205,0.905265109684234,0.866805615534034,0.892870857101472,0.882392361426206,0.973425398477758,0.948648902707988,0.895623941062855,1,
20.Y5GE227L,0,0.0482613024039076,0.061701235233743,0.0548155904606753,0.06307963239162,0.0762475019706184,0.0871245351465176,0.0689600274123391,0.0970303133657752,0.158040159330337,0.199423076632795,0.203687018828903,0.204118942877358,0.19029565231389,0.170134763648607,0.176002987025179,0.29180900295982,0.271925061466783,0.288758766203003,0.530967958384553,0.630467894789319,0.649823725734624,0.794952558314414,0.985565004497612,1,
21.Y5GE129V,0,0.00588860011067908,0.0321932554757423,0.0860137588774377,0.0722939663333545,0.101417494915788,0.10568586531272,0.107811537161856,0.133882790919938,0.146201385941061,0.232187330824673,0.0974495078336062,0.142071907802888,0.138572777859769,0.511370171356005,0.352771466457376,0.540384699243102,0.337676290244288,0.724976018954444,0.96462690357025,0.975731462378066,0.984272304076055,0.96311363252612,1,0.944230277903987,
22.Y5GE129W,0,0.0827344396302685,0.083404744027686,0.0837522549464444,0.112883385323469,0.122084413290787,0.143653501825607,0.254132762347199,0.355892835976433,0.447899691988795,0.409566841066939,0.432159480510813,0.448070040670223,0.409099920961512,0.480992191246944,0.476204587283359,0.470522520708277,0.666266059490966,0.716771455526391,0.668819376458915,0.906059837388676,0.995519215217262,0.974322137734033,1,0.997465592626308,
23.Y5GE129X,0,0.0550968184064597,0.0748867483519158,0.0864625340773461,0.101619387691438,0.171498588937221,0.174379507794198,0.12291136173329,0.150762276658635,0.16377369519185,0.157201613206635,0.162959175260451,0.179427272053651,0.170803218844405,0.162272083561435,0.181287247487515,0.376244277778291,0.885182328324848,0.995936536074119,0.989486729025124,1,0.998392769538568,0.923043716270857,0.934706314744876,0.931154021791754,
24.Y5GE129Y,0,0.0746828821443109,0.0863744845040558,0.0766810176279231,0.0742976796154737,0.0832544888957201,0.103720753165279,0.116668067469318,0.115649666528011,0.125285580029628,0.120827704217859,0.246180485134691,0.278888414605299,0.283891421902584,0.27669392329559,0.287038030802222,0.559638083669686,0.588145729946903,0.549743618177112,0.690351656861203,0.883642740632698,0.929935468379917,1,0.990373238936696,0.985875241891884,
25.Y5GE129Z,0,0.0730018413644049,0.207293845160203,0.18212392451408,0.429429874277859,0.436440233312761,0.43634007838822,0.490187067998871,0.885030521602265,0.910132941078295,0.895746897913915,0.900571616477555,0.903702203809734,0.906031832183433,0.954953029433011,0.966899911317855,0.980587525852964,0.992473381461606,1,0.999543848338808,0.957268234399614,0.962177724318236,0.968029788817239,0.855369470041926,0.841169339788768,
26.Y5GE230E,0,0.11710032034606,0.127294650055975,0.124548469538841,0.128690110446522,0.362594163572359,0.367091448884431,0.520881287725629,0.541055798019562,0.471085766620028,0.60627551849324,0.610600153933123,0.654195641216662,0.652163023387829,0.632552902714238,0.664715379105981,0.725297237022249,0.977900400565919,0.989177958788849,0.978055853125265,0.967210307900209,0.968823125828434,1,0.971652457069353,0.986528936353828,
